,pv_kW,batt_kWh,inv_rating,cost_capex,cost_capex_pv,cost_capex_batt,cost_capex_inv,cost_grid_total,cost_import_kWh,cost_export_kWh,cost_import_kW,cost_export_kW,cost_opex_yr1,cost_repex_total,cost_npv,an_load,an_solar,an_solar_wasted,an_grid,an_losses,an_batt_ch,an_batt_dc,batt_day_backup_hrs,an_grid_import_kWh,an_grid_export_kWh,an_grid_import_kW,an_grid_export_kW
3,18.659037193680703,25,15.96129999434358,998020.0041162507,503794.004229379,175000,319225.9998868716,79114.8570232887,70317.20733604753,0.0,8797.649687241159,0.0,49901.00020581254,593071.199864246,3073253.557958026,30000.000000000702,22909.6199548098,7090.380045190138,8692.698527447956,1589.8184822572061,63.23918533497984,-50.73918533497984,8,8692.698527447388,0.0,73.31374739367631,-77.35214466376286
4,27.988555790521154,25,23.941949991515372,1409530.0061743786,755691.0063440711,175000,478838.99983030744,18359.28770199677,10062.528383538793,0.0,8296.759318457978,0.0,70476.50030871893,784606.7997963689,3233053.009162663,30000.000000000702,31782.721378210223,13217.278621789521,425.7837434797526,2196.0051216901697,26.875299466917802,-14.3752994669178,11,1349.2303440026749,-923.4466005228584,69.13966098714981,-142.05473112711257
5,27.988555790521154,25,23.941949991515372,1409530.0061743786,755691.0063440711,175000,478838.99983030744,16512.394500951053,10062.528383538793,-1846.8932010457168,8296.759318457978,0.0,70476.50030871893,784606.7997963689,3211530.0856229253,30000.000000000702,31782.721378210223,13217.278621789521,425.7837434797526,2196.0051216901697,26.875299466917802,-14.3752994669178,11,1349.2303440026749,-923.4466005228584,69.13966098714981,-142.05473112711257
6,27.988555790521154,25,23.941949991515372,1409530.0061743786,755691.0063440711,175000,478838.99983030744,14665.501299905338,10062.528383538793,-3693.7864020914335,8296.759318457978,0.0,70476.50030871893,784606.7997963689,3190007.162083188,30000.000000000702,31782.721378210223,13217.278621789521,425.7837434797526,2196.0051216901697,26.875299466917802,-14.3752994669178,11,1349.2303440026749,-923.4466005228584,69.13966098714981,-142.05473112711257
7,27.988555790521154,25,23.941949991515372,1409530.0061743786,755691.0063440711,175000,478838.99983030744,-5444.939930746081,0.0,-13741.699249204059,8296.759318457978,0.0,70476.50030871893,784606.7997963689,2955648.462450409,30000.000000000702,35929.3591242746,9070.640875725438,-3435.4248123010816,2481.4343119734312,20.29298189468354,-7.792981894683535,11,0.0,-3435.4248123010148,69.13966098714981,-159.5634437456264
8,27.988555790521154,25,23.941949991515372,1409530.0061743786,755691.0063440711,175000,478838.99983030744,-39227.839019491745,0.0,-47524.59833794973,8296.759318457978,0.0,70476.50030871893,784606.7997963689,2561956.63791716,30000.000000000702,44999.99999999991,-1.6697754290362354e-13,-11881.149584486435,3106.3504155124488,12.500000000000052,-4.573903582752809e-14,11,0.0,-11881.149584487432,69.13966098714981,-178.52708518676553
9,18.659037193680703,25,15.96129999434358,998020.0041162507,503794.004229379,175000,319225.9998868716,79114.8570232887,70317.20733604753,0.0,8797.649687241159,0.0,49901.00020581254,593071.199864246,3073253.557958026,30000.000000000702,22909.6199548098,7090.380045190138,8692.698527447956,1589.8184822572061,63.23918533497984,-50.73918533497984,8,8692.698527447388,0.0,73.31374739367631,-77.35214466376286
10,18.659037193680703,25,15.96129999434358,998020.0041162507,503794.004229379,175000,319225.9998868716,94391.09378158159,85174.9387455921,0.0,9216.155035989494,0.0,49901.00020581254,593071.199864246,3251276.4536714894,30000.000000000702,21059.290123028844,8940.709876971174,10420.341714604408,1467.1318376325262,87.96195861530722,-75.46195861530724,8,10420.34171460373,0.0,76.80129196657913,-69.35320039906789
11,18.659037193680703,25,15.96129999434358,998020.0041162507,503794.004229379,175000,319225.9998868716,107916.48404278644,98523.25173027458,0.0,9393.23231251185,0.0,49901.00020581254,593071.199864246,3408895.7140987823,30000.000000000702,19395.10375375582,10604.89624624419,11972.471131428048,1355.074885183057,108.47770957511167,-95.97770957511169,8,11972.471131427275,0.0,78.27693593759875,-44.05807210635035
12,18.659037193680703,25,15.96129999434358,998020.0041162507,503794.004229379,175000,319225.9998868716,62154.15639017856,53619.84939254237,0.0,8534.306997636195,0.0,49901.00020581254,593071.199864246,2875600.622368616,30000.000000000702,25009.884084938985,4990.115915061073,6733.643862837523,1731.0279477760616,35.00897252777967,-22.508972527779676,8,6733.643862837171,0.0,71.11922498030161,-85.84174826026022
13,18.659037193680703,25,15.96129999434358,998020.0041162507,503794.004229379,175000,319225.9998868716,28348.837594924164,19814.53059728797,0.0,8534.306997636195,0.0,49901.00020581254,593071.199864246,2481647.5279207355,30000.000000000702,29999.999999999833,0.0,2083.850415512441,2071.3504155124606,12.50000000000006,-6.524482400948116e-14,8,2602.978248320477,-519.1278328079709,71.11922498030161,-102.59095206838447
14,18.659037193680703,25,15.96129999434358,918213.5041445327,503794.004229379,175000,239419.4999151537,114841.18887421707,100563.07027071336,0.0,14278.118603503706,0.0,45910.67520722664,497303.3998981844,3300044.72487255,30000.000000000702,21166.015565437054,8833.984434562906,12209.659333804073,3373.5325694173166,11474.635322137798,-11472.492992314134,8,12209.65933380388,0.0,118.98432169586424,-4.440892098500626e-15
15,18.659037193680703,25,15.96129999434358,998020.0041162507,503794.004229379,175000,319225.9998868716,115882.28699513532,104230.90268489486,0.0,11651.38431024047,0.0,49901.00020581254,593071.199864246,3501725.8613855597,30000.000000000702,18707.451577426385,11292.548422573618,12636.151474988606,1331.1030524141286,222.69849101122705,-210.19849101122705,8,12636.151474987773,0.0,97.09486925200392,-42.77697617388683
16,18.659037193680703,25,15.96129999434358,918213.5041445327,503794.004229379,175000,239419.4999151537,114929.15028984185,100580.26683580277,0.0,14348.88345403908,0.0,45910.67520722664,497303.3998981844,3301069.7905460102,30000.000000000702,21162.876195909335,8837.123804090636,12211.658934395862,3372.3928004813793,11470.042651243006,-11467.900321419342,8,12211.658934395673,0.0,119.57402878365902,-4.440892098500626e-15
17,18.659037193680703,25,15.96129999434358,918213.5041445327,503794.004229379,175000,239419.4999151537,114980.80853351882,100605.3762234424,0.0,14375.432310076418,0.0,45910.67520722664,497303.3998981844,3301671.794185543,30000.000000000702,21160.5792039572,8839.420796042761,12214.578630633026,3373.0155047664207,11483.183694551115,-11481.04136472745,8,12214.57863063284,0.0,119.79526925063682,-4.440892098500626e-15
