solar,load,grid
0.744619921,0,1
1.238968892,0,1
1.529402079,2.739726027,1
1.022546415,2.739726027,1
1.116465121,2.739726027,1
1.223880458,2.739726027,1
1.370307751,2.739726027,1
0.933872527,0,1
0.760240505,0,1
0.175495941,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.235807617,0,1
0.745049824,0,1
1.241771395,0,1
1.640242697,2.739726027,1
1.89806135,2.739726027,1
1.990864631,2.739726027,1
1.905762423,2.739726027,1
1.656634784,2.739726027,1
1.263122471,0,1
0.768813004,0,1
0.257834919,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.236088797,0,1
0.748956132,0,1
1.111424799,0,1
1.641781053,2.739726027,1
1.872794671,2.739726027,1
2.005518515,2.739726027,1
1.920685868,2.739726027,1
1.67067286,2.739726027,1
1.275069127,0,1
0.779797607,0,1
0.245934738,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.189184983,0,1
0.498485336,0,1
1.014949913,0,1
1.661535678,2.739726027,1
1.925321849,2.739726027,1
2.018808328,2.739726027,1
1.934361431,2.739726027,1
1.357589593,2.739726027,1
1.205689751,0,1
0.719253319,0,1
0.15853894,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.203532822,0,1
0.692436665,0,1
1.111822169,0,1
1.315677534,2.739726027,1
1.916193962,2.739726027,1
2.012092545,2.739726027,1
1.930859465,2.739726027,1
1.681448321,2.739726027,1
1.286885651,0,1
0.627769955,0,1
0.24614388,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.234687546,0,1
0.750187746,0,1
1.259074411,0,1
1.668002814,2.739726027,1
1.936034567,2.739726027,1
2.035349137,2.739726027,1
1.959767538,2.739726027,1
1.709847483,2.739726027,1
1.313530343,0,1
0.812800216,0,1
0.266946539,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.244935504,0,1
0.77853346,0,1
1.299929141,0,1
1.715675573,2.739726027,1
1.988248032,2.739726027,1
2.086412321,2.739726027,1
2.004375205,2.739726027,1
1.746856323,2.739726027,1
1.3417436,0,1
0.832468861,0,1
0.273253333,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.248035454,0,1
0.802482544,0,1
1.333373272,0,1
1.76194011,2.739726027,1
2.038869694,2.739726027,1
2.109715389,2.739726027,1
1.900698863,2.739726027,1
1.78007737,2.739726027,1
1.380613805,0,1
0.855046903,0,1
0.278017123,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.234520232,0,1
0.79834618,0,1
1.330566122,0,1
1.755844782,2.739726027,1
2.032669796,2.739726027,1
2.133943329,2.739726027,1
2.049577765,2.739726027,1
1.791143306,2.739726027,1
1.379642457,0,1
0.860954003,0,1
0.271052694,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.251978942,0,1
0.801257901,0,1
1.331793088,0,1
1.758126754,2.739726027,1
2.035934735,2.739726027,1
2.138019274,2.739726027,1
2.056082082,2.739726027,1
1.797617413,2.739726027,1
1.388238193,0,1
0.870660516,0,1
0.293653974,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.244733334,0,1
0.77672322,0,1
1.297377608,0,1
1.753909057,2.739726027,1
2.031800694,2.739726027,1
2.136301986,2.739726027,1
2.053154094,2.739726027,1
1.797336233,2.739726027,1
1.390004281,0,1
0.874290291,0,1
0.285608978,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.233785911,0,1
0.722076736,0,1
1.29733578,0,1
1.772081174,2.739726027,1
2.054144032,2.739726027,1
2.160604287,2.739726027,1
2.079296845,2.739726027,1
1.821582764,2.739726027,1
1.407892895,0,1
0.887896141,0,1
0.306920549,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.195115089,0,1
0.600795284,0,1
1.312400976,0,1
1.760789829,2.739726027,1
2.040789153,2.739726027,1
2.142936435,2.739726027,1
2.058856699,2.739726027,1
1.80020845,2.739726027,1
1.390729307,0,1
0.874885184,0,1
0.298657116,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.234936192,0,1
0.790082746,0,1
1.317359966,0,1
1.744581323,2.739726027,1
2.001928244,2.739726027,1
1.969032529,2.739726027,1
1.886096103,2.739726027,1
1.791357096,2.739726027,1
1.385514699,0,1
0.873637304,0,1
0.320036077,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.234157719,0,1
0.791932491,0,1
1.326910784,0,1
1.761531121,2.739726027,1
2.048364742,2.739726027,1
2.159844405,2.739726027,1
2.0844185,2.739726027,1
1.829609169,2.739726027,1
1.422586283,0,1
0.899835826,0,1
0.297346492,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.234736346,0,1
0.799714898,0,1
1.334267935,0,1
1.76960865,2.739726027,1
2.056114615,2.739726027,1
2.168777092,2.739726027,1
2.093276827,2.739726027,1
1.838081745,2.739726027,1
1.428584011,0,1
0.907759985,0,1
0.334620246,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.24793553,0,1
0.8132185,0,1
1.358686427,0,1
1.796934216,2.739726027,1
2.083456447,2.739726027,1
2.140298922,2.739726027,1
2.114209618,2.739726027,1
1.855847197,2.739726027,1
1.441613558,0,1
0.916288331,0,1
0.323814576,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.224528821,0,1
0.796310531,0,1
1.352981498,0,1
1.791833475,2.739726027,1
2.079996309,2.739726027,1
2.188238919,2.739726027,1
2.111565133,2.739726027,1
1.853950976,2.739726027,1
1.440542286,0,1
0.91595138,0,1
0.331371574,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.247533513,0,1
0.796549882,0,1
1.331674574,0,1
1.765923103,2.739726027,1
2.051278787,2.739726027,1
2.09067417,2.739726027,1
2.091025064,2.739726027,1
1.788958934,2.739726027,1
1.433733552,0,1
0.915544715,0,1
0.322197211,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.249950265,0,1
0.820327005,0,1
1.36955484,0,1
1.81293358,2.739726027,1
2.104379944,2.739726027,1
2.134475479,2.739726027,1
2.050769875,2.739726027,1
1.882189795,2.739726027,1
1.466231897,0,1
0.935359759,0,1
0.326935439,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.240745693,0,1
0.81645323,0,1
1.369550193,0,1
1.813205464,2.739726027,1
2.106940771,2.739726027,1
2.155766136,2.739726027,1
2.147068152,2.739726027,1
1.889077538,2.739726027,1
1.477437261,0,1
0.948196431,0,1
0.348823313,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.224044774,0,1
0.797758258,0,1
1.339394238,0,1
1.781318279,2.739726027,1
2.079155093,2.739726027,1
2.199558149,2.739726027,1
2.127074175,2.739726027,1
1.877244748,2.739726027,1
1.467800462,0,1
0.940795127,0,1
0.353092133,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
